country_code,country,isced,gender,age,piaac_category_code,piaac_category,indicator,year,value
AUS,Australia,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by literacy proficiency level ",2012,23.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by literacy proficiency level ",2012,29.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Inactivity rates, by literacy proficiency level ",2012,21.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Inactivity rates, by literacy proficiency level ",2012,18.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by literacy proficiency level ",2012,14.0
AUS,Australia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by literacy proficiency level ",2012,25.0
AUS,Australia,Tertiary education,Total,25-64 years,L2,Level (2),"Inactivity rates, by literacy proficiency level ",2012,16.0
AUS,Australia,Tertiary education,Total,25-64 years,L3,Level (3),"Inactivity rates, by literacy proficiency level ",2012,12.0
AUS,Australia,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by literacy proficiency level ",2012,8.0
AUS,Australia,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by literacy proficiency level ",2012,39.0
AUS,Australia,All ISCED levels,Total,25-64 years,L2,Level (2),"Inactivity rates, by literacy proficiency level ",2012,24.0
AUS,Australia,All ISCED levels,Total,25-64 years,L3,Level (3),"Inactivity rates, by literacy proficiency level ",2012,16.0
AUS,Australia,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by literacy proficiency level ",2012,11.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by numeracy proficiency level ",2012,51.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L2,Level (2),"Employment rates, by numeracy proficiency level ",2012,68.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L3,Level (3),"Employment rates, by numeracy proficiency level ",2012,76.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by numeracy proficiency level ",2012,83.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by numeracy proficiency level ",2012,64.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Employment rates, by numeracy proficiency level ",2012,76.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Employment rates, by numeracy proficiency level ",2012,83.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by numeracy proficiency level ",2012,82.0
AUS,Australia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by numeracy proficiency level ",2012,73.0
AUS,Australia,Tertiary education,Total,25-64 years,L2,Level (2),"Employment rates, by numeracy proficiency level ",2012,81.0
AUS,Australia,Tertiary education,Total,25-64 years,L3,Level (3),"Employment rates, by numeracy proficiency level ",2012,86.0
AUS,Australia,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by numeracy proficiency level ",2012,90.0
AUS,Australia,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by numeracy proficiency level ",2012,58.0
AUS,Australia,All ISCED levels,Total,25-64 years,L2,Level (2),"Employment rates, by numeracy proficiency level ",2012,75.0
AUS,Australia,All ISCED levels,Total,25-64 years,L3,Level (3),"Employment rates, by numeracy proficiency level ",2012,83.0
AUS,Australia,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by numeracy proficiency level ",2012,88.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by numeracy proficiency level ",2012,4.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by numeracy proficiency level ",2012,4.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by numeracy proficiency level ",2012,
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by numeracy proficiency level ",2012,5.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Share of unemployed, by numeracy proficiency level ",2012,4.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUS,Australia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by numeracy proficiency level ",2012,4.0
AUS,Australia,Tertiary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by numeracy proficiency level ",2012,4.0
AUS,Australia,Tertiary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUS,Australia,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by numeracy proficiency level ",2012,2.0
AUS,Australia,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by numeracy proficiency level ",2012,4.0
AUS,Australia,All ISCED levels,Total,25-64 years,L2,Level (2),"Share of unemployed, by numeracy proficiency level ",2012,4.0
AUS,Australia,All ISCED levels,Total,25-64 years,L3,Level (3),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUS,Australia,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by numeracy proficiency level ",2012,46.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L2,Level (2),"Inactivity rates, by numeracy proficiency level ",2012,29.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L3,Level (3),"Inactivity rates, by numeracy proficiency level ",2012,20.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by numeracy proficiency level ",2012,13.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by numeracy proficiency level ",2012,31.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Inactivity rates, by numeracy proficiency level ",2012,20.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Inactivity rates, by numeracy proficiency level ",2012,14.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by numeracy proficiency level ",2012,14.0
AUS,Australia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by numeracy proficiency level ",2012,23.0
AUS,Australia,Tertiary education,Total,25-64 years,L2,Level (2),"Inactivity rates, by numeracy proficiency level ",2012,15.0
AUS,Australia,Tertiary education,Total,25-64 years,L3,Level (3),"Inactivity rates, by numeracy proficiency level ",2012,11.0
AUS,Australia,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by numeracy proficiency level ",2012,7.0
AUS,Australia,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by numeracy proficiency level ",2012,37.0
AUS,Australia,All ISCED levels,Total,25-64 years,L2,Level (2),"Inactivity rates, by numeracy proficiency level ",2012,21.0
AUS,Australia,All ISCED levels,Total,25-64 years,L3,Level (3),"Inactivity rates, by numeracy proficiency level ",2012,14.0
AUS,Australia,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by numeracy proficiency level ",2012,9.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,54.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,59.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,68.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,67.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,76.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,86.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,88.0
AUT,Austria,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,68.0
AUT,Austria,Tertiary education,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,80.0
AUT,Austria,Tertiary education,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,89.0
AUT,Austria,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,91.0
AUT,Austria,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,61.0
AUT,Austria,All ISCED levels,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,73.0
AUT,Austria,All ISCED levels,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,85.0
AUT,Austria,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,89.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,7.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,4.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,2.0
AUT,Austria,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,
AUT,Austria,Tertiary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUT,Austria,Tertiary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,2.0
AUT,Austria,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,
AUT,Austria,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,5.0
AUT,Austria,All ISCED levels,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUT,Austria,All ISCED levels,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,2.0
AUT,Austria,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,2.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by literacy proficiency level ",2012,39.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L2,Level (2),"Inactivity rates, by literacy proficiency level ",2012,38.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L3,Level (3),"Inactivity rates, by literacy proficiency level ",2012,29.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by literacy proficiency level ",2012,
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by literacy proficiency level ",2012,30.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Inactivity rates, by literacy proficiency level ",2012,21.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Inactivity rates, by literacy proficiency level ",2012,11.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by literacy proficiency level ",2012,10.0
AUT,Austria,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by literacy proficiency level ",2012,27.0
AUT,Austria,Tertiary education,Total,25-64 years,L2,Level (2),"Inactivity rates, by literacy proficiency level ",2012,17.0
AUT,Austria,Tertiary education,Total,25-64 years,L3,Level (3),"Inactivity rates, by literacy proficiency level ",2012,9.0
AUT,Austria,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by literacy proficiency level ",2012,7.0
AUT,Austria,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by literacy proficiency level ",2012,34.0
AUT,Austria,All ISCED levels,Total,25-64 years,L2,Level (2),"Inactivity rates, by literacy proficiency level ",2012,24.0
AUT,Austria,All ISCED levels,Total,25-64 years,L3,Level (3),"Inactivity rates, by literacy proficiency level ",2012,13.0
AUT,Austria,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by literacy proficiency level ",2012,8.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by numeracy proficiency level ",2012,53.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L2,Level (2),"Employment rates, by numeracy proficiency level ",2012,61.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L3,Level (3),"Employment rates, by numeracy proficiency level ",2012,64.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by numeracy proficiency level ",2012,
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by numeracy proficiency level ",2012,67.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Employment rates, by numeracy proficiency level ",2012,75.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Employment rates, by numeracy proficiency level ",2012,84.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by numeracy proficiency level ",2012,90.0
AUT,Austria,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by numeracy proficiency level ",2012,66.0
AUT,Austria,Tertiary education,Total,25-64 years,L2,Level (2),"Employment rates, by numeracy proficiency level ",2012,80.0
AUT,Austria,Tertiary education,Total,25-64 years,L3,Level (3),"Employment rates, by numeracy proficiency level ",2012,88.0
AUT,Austria,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by numeracy proficiency level ",2012,90.0
AUT,Austria,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by numeracy proficiency level ",2012,61.0
AUT,Austria,All ISCED levels,Total,25-64 years,L2,Level (2),"Employment rates, by numeracy proficiency level ",2012,72.0
AUT,Austria,All ISCED levels,Total,25-64 years,L3,Level (3),"Employment rates, by numeracy proficiency level ",2012,83.0
AUT,Austria,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by numeracy proficiency level ",2012,89.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by numeracy proficiency level ",2012,6.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by numeracy proficiency level ",2012,4.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by numeracy proficiency level ",2012,
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by numeracy proficiency level ",2012,2.0
AUT,Austria,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by numeracy proficiency level ",2012,
AUT,Austria,Tertiary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUT,Austria,Tertiary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by numeracy proficiency level ",2012,2.0
AUT,Austria,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by numeracy proficiency level ",2012,2.0
AUT,Austria,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by numeracy proficiency level ",2012,5.0
AUT,Austria,All ISCED levels,Total,25-64 years,L2,Level (2),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUT,Austria,All ISCED levels,Total,25-64 years,L3,Level (3),"Share of unemployed, by numeracy proficiency level ",2012,3.0
AUT,Austria,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by numeracy proficiency level ",2012,2.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by numeracy proficiency level ",2012,40.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L2,Level (2),"Inactivity rates, by numeracy proficiency level ",2012,35.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L3,Level (3),"Inactivity rates, by numeracy proficiency level ",2012,33.0
AUT,Austria,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by numeracy proficiency level ",2012,
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by numeracy proficiency level ",2012,29.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Inactivity rates, by numeracy proficiency level ",2012,22.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Inactivity rates, by numeracy proficiency level ",2012,14.0
AUT,Austria,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by numeracy proficiency level ",2012,8.0
AUT,Austria,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by numeracy proficiency level ",2012,30.0
AUT,Austria,Tertiary education,Total,25-64 years,L2,Level (2),"Inactivity rates, by numeracy proficiency level ",2012,17.0
AUT,Austria,Tertiary education,Total,25-64 years,L3,Level (3),"Inactivity rates, by numeracy proficiency level ",2012,10.0
AUT,Austria,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by numeracy proficiency level ",2012,8.0
AUT,Austria,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by numeracy proficiency level ",2012,35.0
AUT,Austria,All ISCED levels,Total,25-64 years,L2,Level (2),"Inactivity rates, by numeracy proficiency level ",2012,24.0
AUT,Austria,All ISCED levels,Total,25-64 years,L3,Level (3),"Inactivity rates, by numeracy proficiency level ",2012,15.0
AUT,Austria,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Inactivity rates, by numeracy proficiency level ",2012,8.0
CAN,Canada,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,54.0
CAN,Canada,Below upper secondary education,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,61.0
CAN,Canada,Below upper secondary education,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,68.0
CAN,Canada,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,
CAN,Canada,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,70.0
CAN,Canada,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,77.0
CAN,Canada,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,81.0
CAN,Canada,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,82.0
CAN,Canada,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,75.0
CAN,Canada,Tertiary education,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,82.0
CAN,Canada,Tertiary education,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,87.0
CAN,Canada,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,91.0
CAN,Canada,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,66.0
CAN,Canada,All ISCED levels,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,77.0
CAN,Canada,All ISCED levels,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,84.0
CAN,Canada,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,89.0
CAN,Canada,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,4.0
CAN,Canada,Below upper secondary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,5.0
CAN,Canada,Below upper secondary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,5.0
CAN,Canada,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,
CAN,Canada,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,5.0
CAN,Canada,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,4.0
CAN,Canada,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,3.0
