Dataset identifier code,age,measure,measure_type,group
JN5S,All aged 16 to 17 (thousands),Total,level,Men
JN5T,All aged 18 to 24 (thousands),Total,level,Men
JN5U,All aged 16 to 24 (thousands),Total,level,Men
JN5V,All aged 16 to 17 (thousands),Total,level,Women
JN5W,All aged 18 to 24 (thousands),Total,level,Women
JN5X,All aged 16 to 24 (thousands),Total,level,Women
JN5Y,All aged 16 to 17 in full-time education (thousands),Total,level,People
JN5Z,All aged 18 to 24 in full-time education (thousands),Total,level,People
JN62,All aged 16 to 24 in full-time education (thousands),Total,level,People
JN63,All aged 16 to 17 in full-time education (thousands),Total,level,Men
JN64,All aged 18 to 24 in full-time education (thousands),Total,level,Men
JN65,All aged 16 to 24 in full-time education (thousands),Total,level,Men
JN66,All aged 16 to 17 in full-time education (thousands),Total,level,Women
JN67,All aged 18 to 24 in full-time education (thousands),Total,level,Women
JN68,All aged 16 to 24 in full-time education (thousands),Total,level,Women
JN69,All aged 16 to 17 not in full-time education (thousands)1,Total,level,People
JN6A,All aged 18 to 24 not in full-time education 1,Total,level,People
JN6B,All aged 16 to 24 not in full-time education 1,Total,level,People
JN6C,All aged 16 to 17 not in full-time education (thousands)1,Total,level,Men
JN6D,All aged 18 to 24 not in full-time education 1,Total,level,Men
JN6E,All aged 16 to 24 not in full-time education 1,Total,level,Men
JN6F,All aged 16 to 17 not in full-time education (thousands)1,Total,level,Women
JN6G,All aged 18 to 24 not in full-time education 1,Total,level,Women
JN6H,All aged 16 to 24 not in full-time education 1,Total,level,Women
LWEX,All aged 16 to 17 (rates)3,Economically inactive,rate (%),People
LWEY,All aged 16 to 17 (rates)3,Economically inactive,rate (%),Men
LWEZ,All aged 16 to 17 (rates)3,Economically inactive,rate (%),Women
LWFA,All aged 18 to 24 (rates)3,Economically inactive,rate (%),People
LWFB,All aged 18 to 24 (rates)3,Economically inactive,rate (%),Men
LWFC,All aged 18 to 24 (rates)3,Economically inactive,rate (%),Women
MGUQ,All aged 16 to 24 (thousands),Employed,level,People
MGUR,All aged 16 to 24 (thousands),Employed,level,Men
MGUS,All aged 16 to 24 (thousands),Employed,level,Women
MGVF,All aged 16 to 24 (thousands),Unemployed,level,People
MGVG,All aged 16 to 24 (thousands),Unemployed,level,Men
MGVH,All aged 16 to 24 (thousands),Unemployed,level,Women
MGVU,All aged 16 to 24 (thousands),Economically inactive,level,People
MGVV,All aged 16 to 24 (thousands),Economically inactive,level,Men
MGVW,All aged 16 to 24 (thousands),Economically inactive,level,Women
MGWY,All aged 16 to 24 (rates)3,Unemployed,rate (%),People
MGWZ,All aged 16 to 24 (rates)3,Unemployed,rate (%),Men
MGXA,All aged 16 to 24 (rates)3,Unemployed,rate (%),Women
YBTO,All aged 16 to 17 (thousands),Employed,level,People
YBTP,All aged 16 to 17 (thousands),Employed,level,Men
YBTQ,All aged 16 to 17 (thousands),Employed,level,Women
YBTR,All aged 18 to 24 (thousands),Employed,level,People
YBTS,All aged 18 to 24 (thousands),Employed,level,Men
YBTT,All aged 18 to 24 (thousands),Employed,level,Women
YBUA,All aged 16 to 17 (rates)3,Employed,rate (%),People
YBUB,All aged 16 to 17 (rates)3,Employed,rate (%),Men
YBUC,All aged 16 to 17 (rates)3,Employed,rate (%),Women
YBUD,All aged 18 to 24 (rates)3,Employed,rate (%),People
YBUE,All aged 18 to 24 (rates)3,Employed,rate (%),Men
YBUF,All aged 18 to 24 (rates)3,Employed,rate (%),Women
YBVH,All aged 16 to 17 (thousands),Unemployed,level,People
YBVI,All aged 16 to 17 (thousands),Unemployed,level,Men
YBVJ,All aged 16 to 17 (thousands),Unemployed,level,Women
YBVK,All aged 16 to 17 (rates)3,Unemployed,rate (%),People
YBVL,All aged 16 to 17 (rates)3,Unemployed,rate (%),Men
YBVM,All aged 16 to 17 (rates)3,Unemployed,rate (%),Women
YBVN,All aged 18 to 24 (thousands),Unemployed,level,People
YBVO,All aged 18 to 24 (thousands),Unemployed,level,Men
YBVP,All aged 18 to 24 (thousands),Unemployed,level,Women
YBVQ,All aged 18 to 24 (rates)3,Unemployed,rate (%),People
YBVR,All aged 18 to 24 (rates)3,Unemployed,rate (%),Men
YBVS,All aged 18 to 24 (rates)3,Unemployed,rate (%),Women
YCAS,All aged 16 to 17 (thousands),Economically inactive,level,People
YCAT,All aged 16 to 17 (thousands),Economically inactive,level,Men
YCAU,All aged 16 to 17 (thousands),Economically inactive,level,Women
YCAV,All aged 18 to 24 (thousands),Economically inactive,level,People
YCAW,All aged 18 to 24 (thousands),Economically inactive,level,Men
YCAX,All aged 18 to 24 (thousands),Economically inactive,level,Women
