CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
AGPQ,LFS: Econ. inactive: Aged 16-17: Not in full-time education.: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPR,LFS: Econ. inactive: Aged 18-24: Not in full-time education.: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPS,LFS: Econ. inactive: Aged 16-24: Not in full-time education.: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPT,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPU,LFS: Econ. inactive: Aged 18-24: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPV,LFS: Econ. inactive: Aged 16-24: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPW,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPX,LFS: Econ. inactive: Aged 18-24: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPY,LFS: Econ. inactive: Aged 16-24: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGTD,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGTF,LFS: Econ. inactive: Aged 18-24: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGTO,LFS: Econ. inactive: Aged 16-24: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AIVZ,LFS: Employment rate: Aged 16-24: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIWC,LFS: Employment rate: Aged 16-24: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIWF,LFS: Employment rate: Aged 16-24: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIWG,LFS: Employment rate: Aged 16-17: Not in full-time education: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIWH,LFS: Employment rate: Aged 18-24: Not in full-time education: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIWI,LFS: Employment rate: Aged 16-24: Not in full-time education: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIWJ,LFS: Employment rate: Aged 16-17: Not in full-time education: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIWK,LFS: Employment rate: Aged 18-24: Not in full-time education: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIWL,LFS: Employment rate: Aged 16-24: Not in full-time education: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIWM,LFS: Employment rate: Aged 16-17: Not in full-time education: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIWN,LFS: Employment rate: Aged 18-24: Not in full-time education: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIWX,LFS: Employment rate: Aged 16-24: Not in full-time education: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIWY,LFS: Employment rate: Aged 16-17: In full-time education: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIXA,LFS: Employment rate: Aged 18-24: In full-time education: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIXB,LFS: Employment rate: Aged 16-24: In full-time education: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIXC,LFS: Employment rate: Aged 16-17: In full-time education: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIXD,LFS: Employment rate: Aged 18-24: In full-time education: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIXE,LFS: Employment rate: Aged 16-24: In full-time education: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIXF,LFS: Employment rate: Aged 16-17: In full-time education: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIXG,LFS: Employment rate: Aged 18-24: In full-time education: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIXH,LFS: Employment rate: Aged 16-24: In full-time education: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIXR,LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIXS,LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIXT,LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIXU,LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIXV,LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIXW,LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIXX,LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: Female: %: S,,%,2024-09-10,2024-10-15,
AIXY,LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: Female: %: S,,%,2024-09-10,2024-10-15,
AIXZ,LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: Female: %: S,,%,2024-09-10,2024-10-15,
AIYA,LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIYB,LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIYC,LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIYD,LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIYE,LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIYF,LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIYG,LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIYH,LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIYI,LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIYL,LFS: Economic inactivity rate: Aged 16-24: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIYO,LFS: Economic inactivity rate: Aged 16-24: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIYR,LFS: Economic inactivity rate: Aged 16-24: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIYS,LFS: Econ. inactivity rate: Aged 16-17: Not in full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIYT,LFS: Econ. inactivity rate: Aged 18-24: Not in full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIYU,LFS: Econ. inactivity rate: Aged 16-24: Not in full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIYV,LFS: Econ. inactivity rate: Aged 16-17: Not in full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIYW,LFS: Econ. inactivity rate: Aged 18-24: Not in full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIYX,LFS: Econ. inactivity rate: Aged 16-24: Not in full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIYY,LFS: Econ. inact. rate: Aged 16-17: Not in full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIYZ,LFS: Econ. inact. rate: Aged 18-24: Not in full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIZA,LFS: Econ. inact. rate: Aged 16-24: Not in full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIZB,LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIZC,LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIZD,LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: All: %: SA,,%,2024-09-10,2024-10-15,
AIZE,LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIZF,LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIZG,LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
AIZH,LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIZI,LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
AIZJ,LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: Female: %: SA,,%,2024-09-10,2024-10-15,
ALY5,UK Vacancies by size of enterprise - 1-9 employed (thousands),,,2024-09-10,2024-10-15,
ALY6,UK Vacancies by size of enterprise - 10-49 employed (thousands),,,2024-09-10,2024-10-15,
ALY7,UK Vacancies by size of enterprise - 50-249 employed (thousands),,,2024-09-10,2024-10-15,
ALY8,UK Vacancies by size of enterprise - 250-2499 employed (thousands),,,2024-09-10,2024-10-15,
ALY9,UK Vacancies by size of enterprise - 2500+ employed (thousands),,,2024-09-10,2024-10-15,
ANZ6,United Kingdom employment rate (EUROSTAT version),,,2024-09-10,2024-10-15,
AP2Y,UK Vacancies (thousands) - Total,,,2024-09-10,2024-10-15,
AP2Z,UK Job Vacancies ratio per 100 emp jobs - Total,,,2024-09-10,2024-10-15,
BBFW,Labour disputes; working days lost due to strike action; UK (thousands),,(000's),2024-09-10,2024-10-15,
BCAJ,UK Employee Jobs SA : Total (thousands),,,2024-09-10,2024-10-15,
BEAO,LFS: ILO redundancy level (thousands): UK: All: SA,,000's,2024-09-10,2024-10-15,
BEAQ,LFS: Econ inactive: Look after family/home: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
BEAS,LFS: Economically inactive: UK: Male: Does not want job: %: SA,,%,2024-09-10,2024-10-15,
BEAT,LFS: Econ inactive: Wants a Job: Students: UK: Male: 000s: SA,,,2024-09-10,2024-10-15,
BEAZ,LFS: Econ inactive: Does not want a Job: Other: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEBP,LFS: Economically Inactive: UK: Male: Aged 16-64: %: SA,,%,2024-09-10,2024-10-15,
BEDI,LFS: Econ inactive: Temp Sick: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
BEDL,LFS: Econ inactive: Long Term Sick: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
BEDR,LFS: Econ inactive: Retired: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
BEDU,LFS: Econ inactive: Other: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
BEEH,LFS: Econ inactive: Students: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
BEEK,LFS: Econ inactive: Look after family/home: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
BEEN,LFS: Econ inactive: Temp Sick: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
BEEQ,LFS: Econ inactive: Long Term Sick: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
BEET,LFS: Econ inactive: Discouraged Worker: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
BEEW,LFS: Econ inactive: Retired: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
BEEX,LFS: Econ inactive: Students: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
BEEZ,LFS: Econ inactive: Other: UK: Male: %: SA,,%,2024-09-10,2024-10-15,
BEGT,LFS: Economically inactive: UK: Male: Wants a job: %: SA,,%,2024-09-10,2024-10-15,
BEGX,LFS: Econ inactive: Wants a Job: Temp Sick: UK: Male: 000s: SA,,,2024-09-10,2024-10-15,
BEGY,LFS: Econ inactive: Wants a Job: Students: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEHB,LFS: Econ inactive: Wants a Job: Look after family/home: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEHE,LFS: Econ inactive: Wants a Job: Temp Sick: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEHG,LFS: Econ inactive: Wants a Job: Other: UK: Male: 000s: SA,,,2024-09-10,2024-10-15,
BEHH,LFS: Econ inactive: Wants a Job: Long Term Sick: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEHK,LFS: Econ inactive: Wants a Job: Discouraged Worker: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEHN,LFS: Econ inactive: Wants a Job: Other: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEIR,LFS: ILO redundancy rate: UK: All: SA,,"per 1,000 employees",2024-09-10,2024-10-15,
BEIU,LFS: ILO redundancy level (thousands): UK: Men: SA,,000's,2024-09-10,2024-10-15,
BEIV,LFS: Econ inactive: Does not want a Job: Students: UK: Male: 000s: SA,,,2024-09-10,2024-10-15,
BEIX,LFS: ILO redundancy rate: UK: Men: SA,,"per 1,000 employees",2024-09-10,2024-10-15,
BEIY,LFS: Econ inactive: Does not want a Job: Look after family/home: UK: Male: 000s:,,,2024-09-10,2024-10-15,
BEJA,LFS: ILO redundancy level (thousands): UK: Women: SA,,000's,2024-09-10,2024-10-15,
BEJB,LFS: Econ inactive: Does not want a Job: Temp Sick: UK: Male: 000s: SA,,,2024-09-10,2024-10-15,
BEJC,LFS: Econ inactive: Does not want a Job: Students: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEJD,LFS: ILO redundancy rate: UK: Women: SA,,"Per 1,000 employees ",2024-09-10,2024-10-15,
BEJE,LFS: Econ inactive: Does not want a Job: Long Term Sick: UK: Male: 000s: SA,,,2024-09-10,2024-10-15,
BEJF,LFS: Econ inactive: Does not want a Job: Look after family/home: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEJI,LFS: Econ inactive: Does not want a Job: Temp Sick: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEJK,LFS: Econ inactive: Does not want a Job: Other: UK: Male: 000s: SA,,,2024-09-10,2024-10-15,
BEJL,LFS: Econ inactive: Does not want a Job: Long Term Sick: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BEJO,LFS: Econ inactive: Does not want a Job: Retired: UK: Male: %: SA,,,2024-09-10,2024-10-15,
BFDS,"LM Structure: UK:Female:econ activity rate, not in FTE16-17%QTRS=SeasonsNSA",,,2024-09-10,2024-10-15,
BFEO,LFS: Econ. inactivity does not want a job: Total: UK: male:%,,,2024-09-10,2024-10-15,
BLUT,Labour disputes; number of workers involved in period; UK (thousands),,(000's),2024-09-10,2024-10-15,
BLUU,Labour disputes; number of stoppages in progress; UK,,,2024-09-10,2024-10-15,
CRZK,Economically inactive Rate:Total (16-64):ALL:%,,,2024-09-10,2024-10-15,
DSWD,Unemployment level by country of birth (16+) - UK born: Thousands,,,2024-09-10,2024-10-15,
DSWE,Unemployment level by nationality (16+) - UK national: Thousands,,,2024-09-10,2024-10-15,
DT2W,Unemployment rate by country of birth (16+) - UK born: %,,,2024-09-10,2024-10-15,
DT2Z,Unemployment rate by nationality (16+) - UK national: %,,,2024-09-10,2024-10-15,
DT35,Unemployment level by country of birth (16+) - Non-UK born: Thousands,,,2024-09-10,2024-10-15,
DT39,Unemployment level by nationality (16+) - Non-UK national: Thousands,,,2024-09-10,2024-10-15,
DT3B,Unemployment rate by country of birth (16+) - Non-UK born: %,,,2024-09-10,2024-10-15,
DT3D,Unemployment rate by nationality (16+) - Non-UK national: %,,,2024-09-10,2024-10-15,
DT3F,Unemployment level by country of birth (16+) - Total EU (EU27): Thousands,,,2024-09-10,2024-10-15,
DTG9,Unemployment level by nationality (16+) - Total EU (EU27): Thousands,,,2024-09-10,2024-10-15,
DTJG,Unemployment rate by country of birth (16+) - Total EU (EU27): %,,,2024-09-10,2024-10-15,
DTKA,Unemployment rate by nationality (16+) - Total EU (EU27): %,,,2024-09-10,2024-10-15,
DTKB,Unemployment level by country of birth (16+) - Total Non-EU: Thousands,,,2024-09-10,2024-10-15,
DTKC,Unemployment level by nationality (16+) - Total Non-EU: Thousands,,,2024-09-10,2024-10-15,
DTKD,Unemployment rate by country of birth (16+) - Total Non-EU: %,,,2024-09-10,2024-10-15,
DTLH,Unemployment rate by nationality (16+) - Total Non-EU: %,,,2024-09-10,2024-10-15,
DTLK,Economically inactive: total by country of birth (16-64): UK born: thousands,,,2024-09-10,2024-10-15,
DYDC,UK Workforce Jobs SA : Total (thousands),,,2024-09-10,2024-10-15,
DYDH,GB Workforce Jobs SA : Total (thousands),,,2024-09-10,2024-10-15,
DYTC,Economically inactive: total by nationality (16-64): UK national: thousands,,,2024-09-10,2024-10-15,
DYTD,Economically inactive: total by country of birth (16-64): UK born: %,,,2024-09-10,2024-10-15,
DYUO,Economically inactive: total by nationality (16-64): UK national: %,,,2024-09-10,2024-10-15,
DYUP,Economically inactive: student by country of birth (16-64): UK born: thousands,,,2024-09-10,2024-10-15,
DYUQ,Economically inactive: student by nationality (16-64): UK national: thousands,,,2024-09-10,2024-10-15,
DYUR,Economically inactive: total by country of birth (16-64): Non-UK born: thousands,,,2024-09-10,2024-10-15,
DYUS,Economically inactive: total by nationality (16-64): Non-UK national: thousands,,,2024-09-10,2024-10-15,
DYUT,Economically inactive: total by country of birth (16-64): Non-UK born: %,,,2024-09-10,2024-10-15,
DYUU,Economically inactive: total by nationality (16-64): Non-UK national: %,,,2024-09-10,2024-10-15,
DYVR,Economically inactive: student by country of birth (16-64): Non-UK born: thousands,,,2024-09-10,2024-10-15,
DYVU,Economically inactive: student by nationality (16-64): Non-UK national: thousands,,,2024-09-10,2024-10-15,
DYVZ,Economically inactive: total by country of birth (16-64): EU (EU27) born: thousands,,,2024-09-10,2024-10-15,
DYWA,Economically inactive: total by nationality (16-64): EU (EU27) national: thousands,,,2024-09-10,2024-10-15,
DYWD,Economically inactive: total by country of birth (16-64): EU (EU27) born: %,,,2024-09-10,2024-10-15,
DYWE,Economically inactive: total by nationality (16-64): EU (EU27) national: %,,,2024-09-10,2024-10-15,
DYWL,Economically inactive: student by country of birth (16-64): EU (EU27) born: thousands,,,2024-09-10,2024-10-15,
DYWM,Economically inactive: student by nationality (16-64): EU (EU27) national: thousands,,,2024-09-10,2024-10-15,
DYWR,Economically inactive: total by country of birth (16-64): Non-EU (EU27) born: thousands,,,2024-09-10,2024-10-15,
DYWS,Economically inactive: total by nationality (16-64): Non-EU (EU27) national: thousands,,,2024-09-10,2024-10-15,
DYWT,Economically inactive: total by country of birth (16-64): EU (EU27) born: %,,,2024-09-10,2024-10-15,
DYZN,UK Self-employment jobs SA : Total (thousands),,,2024-09-10,2024-10-15,
