"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",2,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",47,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",32,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",24,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",23,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",29,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",21,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",18,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",14,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",25,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",16,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",12,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",8,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",39,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",24,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",16,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_INACTIVITY_LIT","Inactivity rates, by literacy proficiency level ","VALUE","Value","2012","2012",11,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",51,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",68,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",76,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",83,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",64,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",76,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",83,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",82,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",73,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",81,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",86,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",90,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",58,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",75,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",83,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_NUM","Employment rates, by numeracy proficiency level ","VALUE","Value","2012","2012",88,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",,"c","Data below the publication limit"
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",5,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",2,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_NUM","Share of unemployed, by numeracy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",46,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",29,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",20,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",13,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",31,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",20,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",14,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",14,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",23,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",15,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",11,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",7,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",37,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",21,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",14,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_INACTIVITY_NUM","Inactivity rates, by numeracy proficiency level ","VALUE","Value","2012","2012",9,,
"AUT","Austria","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",54,,
"AUT","Austria","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",59,,
"AUT","Austria","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",68,,
"AUT","Austria","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",,"c","Data below the publication limit"
"AUT","Austria","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",67,,
"AUT","Austria","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",76,,
"AUT","Austria","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",86,,
"AUT","Austria","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",88,,
"AUT","Austria","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",68,,
"AUT","Austria","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",80,,
"AUT","Austria","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",89,,
"AUT","Austria","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",91,,
"AUT","Austria","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",61,,
"AUT","Austria","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",73,,
"AUT","Austria","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",85,,
"AUT","Austria","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",89,,
"AUT","Austria","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",7,,
"AUT","Austria","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",4,,
"AUT","Austria","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",3,,
"AUT","Austria","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",,"c","Data below the publication limit"
"AUT","Austria","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",3,,
