new_la_code,time_period,time_identifier,geographic_level,version,education_investment_area_flag,priority_area_flag,establishment_type,gender,variable,value
E06000008,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,44.9
E06000009,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,33.3
E06000009,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,36.7
E06000009,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,34.9
E06000010,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,41.9
E06000010,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,43.9
E06000010,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,42.9
E06000011,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.9
E06000011,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.1
E06000011,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.5
E06000012,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,38.3
E06000012,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,42.0
E06000012,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,40.0
E06000013,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,40.5
E06000013,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,45.0
E06000013,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,42.7
E06000014,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,46.6
E06000014,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,51.6
E06000014,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,49.2
E06000015,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,40.2
E06000015,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,44.7
E06000015,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,42.3
E06000016,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,41.8
E06000016,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.5
E06000016,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.1
E06000017,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,49.7
E06000017,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,50.5
E06000017,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,50.1
E06000018,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,40.5
E06000018,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,44.3
E06000018,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,42.4
E06000019,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,42.1
E06000019,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.7
E06000019,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,44.7
E06000020,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,42.3
E06000020,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.6
E06000020,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,44.9
E06000021,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,38.1
E06000021,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,42.8
E06000021,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,40.4
E06000022,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,46.3
E06000022,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,53.2
E06000022,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,49.6
E06000023,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.0
E06000023,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.6
E06000023,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.3
E06000024,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,44.6
E06000024,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,48.3
E06000024,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,46.4
E06000025,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,43.5
E06000025,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,47.6
E06000025,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,45.5
E06000026,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,42.2
E06000026,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,47.4
E06000026,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.8
E06000027,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,44.6
E06000027,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,50.3
E06000027,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,47.3
E06000030,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,41.6
E06000030,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,47.0
E06000030,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.1
E06000031,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,40.2
E06000031,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,45.5
E06000031,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,42.8
E06000032,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,41.9
E06000032,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,47.2
E06000032,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.4
E06000033,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,52.0
E06000033,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,55.3
E06000033,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,53.6
E06000034,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,41.0
E06000034,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,46.6
E06000034,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,43.8
E06000035,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.5
E06000035,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.0
E06000035,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.3
E06000036,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,44.7
E06000036,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.1
E06000036,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,46.3
E06000037,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,47.7
E06000037,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,50.4
E06000037,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,49.1
E06000038,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,47.9
E06000038,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,52.3
E06000038,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,50.0
E06000039,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,49.6
E06000039,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,55.0
E06000039,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,52.3
E06000040,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,46.8
E06000040,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,52.4
E06000040,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,49.4
E06000041,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,49.3
E06000041,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,55.9
E06000041,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,52.6
E06000042,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,42.6
E06000042,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,46.4
E06000042,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,44.4
E06000043,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,46.3
E06000043,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,49.4
E06000043,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,47.8
E06000044,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,36.3
E06000044,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,40.6
E06000044,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,38.4
E06000045,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,40.2
E06000045,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,45.6
E06000045,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,42.8
E06000046,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,38.9
E06000046,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,43.1
E06000046,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,40.9
E06000047,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,43.1
E06000047,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,47.6
E06000047,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,45.2
E06000049,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,44.6
E06000049,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.8
E06000049,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,46.7
E06000050,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.4
E06000050,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.3
E06000050,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.7
E06000051,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,40.9
E06000051,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.2
E06000051,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,44.0
E06000052,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,42.2
E06000052,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,46.3
E06000052,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.1
E06000053,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,56.6
E06000053,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.8
E06000053,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,53.2
E06000054,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,44.8
E06000054,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.8
E06000054,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,46.8
E06000055,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,41.6
E06000055,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,46.0
E06000055,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,43.8
E06000056,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,42.7
E06000056,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,45.9
E06000056,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.3
E06000057,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,42.1
E06000057,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,46.9
E06000057,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,44.4
E06000058,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,48.3
E06000058,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,51.8
E06000058,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,50.0
E06000059,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,42.2
E06000059,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,46.1
E06000059,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.1
E06000060,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,52.6
E06000060,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,56.3
E06000060,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,54.4
E06000061,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,42.3
E06000061,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,46.0
E06000061,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.2
E06000062,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.3
E06000062,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.1
E06000062,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.1
E06000063,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,40.5
E06000063,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,46.0
E06000063,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,43.2
E06000064,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.8
E06000064,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.6
E06000064,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,46.2
E06000065,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,43.9
E06000065,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,49.6
E06000065,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,46.7
E06000066,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,41.1
E06000066,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,45.3
E06000066,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,43.2
E08000001,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,43.3
E08000001,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,47.2
E08000001,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,45.2
E08000002,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,43.3
E08000002,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,46.2
E08000002,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.7
E08000003,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,42.5
E08000003,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,47.2
E08000003,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.8
E08000004,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,39.9
E08000004,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,46.0
E08000004,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,42.9
E08000005,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,39.3
E08000005,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,43.1
E08000005,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,41.2
E08000006,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,38.5
E08000006,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,42.6
E08000006,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,40.5
E08000007,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,44.7
E08000007,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,49.2
E08000007,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,46.9
E08000008,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,40.2
E08000008,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,46.5
E08000008,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,43.2
E08000009,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,55.1
E08000009,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,58.8
E08000009,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,56.9
E08000010,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,41.9
E08000010,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,45.7
E08000010,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,43.8
E08000011,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,30.6
E08000011,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,36.0
E08000011,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,33.2
E08000012,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,39.1
E08000012,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,44.3
E08000012,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,41.7
E08000013,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,40.1
E08000013,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,44.8
E08000013,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,42.4
E08000014,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,39.8
E08000014,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,44.0
E08000014,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,41.9
E08000015,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,42.7
E08000015,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,48.0
E08000015,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,45.3
E08000016,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,42.0
E08000016,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,45.7
E08000016,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,43.8
E08000017,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,42.6
E08000017,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,46.1
E08000017,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,44.4
E08000018,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,40.9
E08000018,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,45.4
E08000018,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,43.1
E08000019,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,41.9
E08000019,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,46.0
E08000019,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,43.9
E08000021,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,40.2
E08000021,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,45.0
E08000021,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,42.5
E08000022,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,44.2
E08000022,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,49.6
E08000022,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,46.7
E08000023,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,41.3
E08000023,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,46.7
E08000023,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,44.0
E08000024,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,40.6
E08000024,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,45.0
E08000024,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,42.8
E08000025,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.2
E08000025,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.8
E08000025,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,46.0
E08000026,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,41.0
E08000026,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,46.4
E08000026,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,43.7
E08000027,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,40.5
E08000027,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,44.4
E08000027,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,42.4
E08000028,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,40.2
E08000028,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,44.9
E08000028,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,42.4
E08000029,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.3
E08000029,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,48.6
E08000029,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.8
E08000030,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,42.2
