date,sheet,age,measure,value
Jan-Mar 2011,People - SA,Aged 16-24,Young people who were NEET_Total,1125.0
Apr-Jun 2011,People - SA,Aged 16-24,Young people who were NEET_Total,1164.0
Jul-Sep 2011,People - SA,Aged 16-24,Young people who were NEET_Total,1246.0
Oct-Dec 2011,People - SA,Aged 16-24,Young people who were NEET_Total,1212.0
Jan-Mar 2012,People - SA,Aged 16-24,Young people who were NEET_Total,1193.0
Apr-Jun 2012,People - SA,Aged 16-24,Young people who were NEET_Total,1192.0
Jul-Sep 2012,People - SA,Aged 16-24,Young people who were NEET_Total,1104.0
Oct-Dec 2012,People - SA,Aged 16-24,Young people who were NEET_Total,1084.0
Jan-Mar 2013,People - SA,Aged 16-24,Young people who were NEET_Total,1100.0
Apr-Jun 2013,People - SA,Aged 16-24,Young people who were NEET_Total,1089.0
Jul-Sep 2013,People - SA,Aged 16-24,Young people who were NEET_Total,1092.0
Oct-Dec 2013,People - SA,Aged 16-24,Young people who were NEET_Total,1038.0
Jan-Mar 2014,People - SA,Aged 16-24,Young people who were NEET_Total,979.0
Apr-Jun 2014,People - SA,Aged 16-24,Young people who were NEET_Total,963.0
Jul-Sep 2014,People - SA,Aged 16-24,Young people who were NEET_Total,967.0
Oct-Dec 2014,People - SA,Aged 16-24,Young people who were NEET_Total,971.0
Jan-Mar 2015,People - SA,Aged 16-24,Young people who were NEET_Total,934.0
Apr-Jun 2015,People - SA,Aged 16-24,Young people who were NEET_Total,919.0
Jul-Sep 2015,People - SA,Aged 16-24,Young people who were NEET_Total,856.0
Oct-Dec 2015,People - SA,Aged 16-24,Young people who were NEET_Total,858.0
Jan-Mar 2016,People - SA,Aged 16-24,Young people who were NEET_Total,866.0
Apr-Jun 2016,People - SA,Aged 16-24,Young people who were NEET_Total,844.0
Jul-Sep 2016,People - SA,Aged 16-24,Young people who were NEET_Total,860.0
Oct-Dec 2016,People - SA,Aged 16-24,Young people who were NEET_Total,822.0
Jan-Mar 2017,People - SA,Aged 16-24,Young people who were NEET_Total,795.0
Apr-Jun 2017,People - SA,Aged 16-24,Young people who were NEET_Total,791.0
Jul-Sep 2017,People - SA,Aged 16-24,Young people who were NEET_Total,796.0
Oct-Dec 2017,People - SA,Aged 16-24,Young people who were NEET_Total,793.0
Jan-Mar 2018,People - SA,Aged 16-24,Young people who were NEET_Total,798.0
Apr-Jun 2018,People - SA,Aged 16-24,Young people who were NEET_Total,778.0
Jul-Sep 2018,People - SA,Aged 16-24,Young people who were NEET_Total,758.0
Oct-Dec 2018,People - SA,Aged 16-24,Young people who were NEET_Total,788.0
Jan-Mar 2019,People - SA,Aged 16-24,Young people who were NEET_Total,764.0
Apr-Jun 2019,People - SA,Aged 16-24,Young people who were NEET_Total,792.0
Jul-Sep 2019,People - SA,Aged 16-24,Young people who were NEET_Total,800.0
Oct-Dec 2019,People - SA,Aged 16-24,Young people who were NEET_Total,763.0
Jan-Mar 2020,People - SA,Aged 16-24,Young people who were NEET_Total,774.0
Apr-Jun 2020,People - SA,Aged 16-24,Young people who were NEET_Total,791.0
Jul-Sep 2020,People - SA,Aged 16-24,Young people who were NEET_Total,773.0
Oct-Dec 2020,People - SA,Aged 16-24,Young people who were NEET_Total,798.0
Jan-Mar 2021,People - SA,Aged 16-24,Young people who were NEET_Total,724.0
Apr-Jun 2021,People - SA,Aged 16-24,Young people who were NEET_Total,644.0
Jul-Sep 2021,People - SA,Aged 16-24,Young people who were NEET_Total,708.0
Oct-Dec 2021,People - SA,Aged 16-24,Young people who were NEET_Total,694.0
Jan-Mar 2022,People - SA,Aged 16-24,Young people who were NEET_Total,707.0
Apr-Jun 2022,People - SA,Aged 16-24,Young people who were NEET_Total,711.0
Jul-Sep 2022,People - SA,Aged 16-24,Young people who were NEET_Total,761.0
Oct-Dec 2022,People - SA,Aged 16-24,Young people who were NEET_Total,831.0
Jan-Mar 2023,People - SA,Aged 16-24,Young people who were NEET_Total,812.0
Apr-Jun 2023,People - SA,Aged 16-24,Young people who were NEET_Total,798.0
Jul-Sep 2023,People - SA,Aged 16-24,Young people who were NEET_Total,871.0
Oct-Dec 2023,People - SA,Aged 16-24,Young people who were NEET_Total,851.0
Jan-Mar 2024,People - SA,Aged 16-24,Young people who were NEET_Total,900.0
Apr-Jun 2024,People - SA,Aged 16-24,Young people who were NEET_Total,872.0
Oct-Dec 2001,People - SA,Aged 16-24,Young people who were NEET_Unemployed,373.0
Jan-Mar 2002,People - SA,Aged 16-24,Young people who were NEET_Unemployed,374.0
Apr-Jun 2002,People - SA,Aged 16-24,Young people who were NEET_Unemployed,368.0
Jul-Sep 2002,People - SA,Aged 16-24,Young people who were NEET_Unemployed,361.0
Oct-Dec 2002,People - SA,Aged 16-24,Young people who were NEET_Unemployed,354.0
Jan-Mar 2003,People - SA,Aged 16-24,Young people who were NEET_Unemployed,384.0
Apr-Jun 2003,People - SA,Aged 16-24,Young people who were NEET_Unemployed,361.0
Jul-Sep 2003,People - SA,Aged 16-24,Young people who were NEET_Unemployed,355.0
Oct-Dec 2003,People - SA,Aged 16-24,Young people who were NEET_Unemployed,339.0
Jan-Mar 2004,People - SA,Aged 16-24,Young people who were NEET_Unemployed,338.0
Apr-Jun 2004,People - SA,Aged 16-24,Young people who were NEET_Unemployed,357.0
Jul-Sep 2004,People - SA,Aged 16-24,Young people who were NEET_Unemployed,381.0
Oct-Dec 2004,People - SA,Aged 16-24,Young people who were NEET_Unemployed,390.0
Jan-Mar 2005,People - SA,Aged 16-24,Young people who were NEET_Unemployed,379.0
Apr-Jun 2005,People - SA,Aged 16-24,Young people who were NEET_Unemployed,390.0
Jul-Sep 2005,People - SA,Aged 16-24,Young people who were NEET_Unemployed,399.0
Oct-Dec 2005,People - SA,Aged 16-24,Young people who were NEET_Unemployed,431.0
Jan-Mar 2006,People - SA,Aged 16-24,Young people who were NEET_Unemployed,404.0
Apr-Jun 2006,People - SA,Aged 16-24,Young people who were NEET_Unemployed,449.0
Jul-Sep 2006,People - SA,Aged 16-24,Young people who were NEET_Unemployed,446.0
Oct-Dec 2006,People - SA,Aged 16-24,Young people who were NEET_Unemployed,415.0
Jan-Mar 2007,People - SA,Aged 16-24,Young people who were NEET_Unemployed,443.0
Apr-Jun 2007,People - SA,Aged 16-24,Young people who were NEET_Unemployed,439.0
Jul-Sep 2007,People - SA,Aged 16-24,Young people who were NEET_Unemployed,413.0
Oct-Dec 2007,People - SA,Aged 16-24,Young people who were NEET_Unemployed,414.0
Jan-Mar 2008,People - SA,Aged 16-24,Young people who were NEET_Unemployed,415.0
Apr-Jun 2008,People - SA,Aged 16-24,Young people who were NEET_Unemployed,433.0
Jul-Sep 2008,People - SA,Aged 16-24,Young people who were NEET_Unemployed,470.0
Oct-Dec 2008,People - SA,Aged 16-24,Young people who were NEET_Unemployed,506.0
Jan-Mar 2009,People - SA,Aged 16-24,Young people who were NEET_Unemployed,561.0
Apr-Jun 2009,People - SA,Aged 16-24,Young people who were NEET_Unemployed,573.0
Jul-Sep 2009,People - SA,Aged 16-24,Young people who were NEET_Unemployed,565.0
Oct-Dec 2009,People - SA,Aged 16-24,Young people who were NEET_Unemployed,542.0
Jan-Mar 2010,People - SA,Aged 16-24,Young people who were NEET_Unemployed,567.0
Apr-Jun 2010,People - SA,Aged 16-24,Young people who were NEET_Unemployed,540.0
Jul-Sep 2010,People - SA,Aged 16-24,Young people who were NEET_Unemployed,565.0
Oct-Dec 2010,People - SA,Aged 16-24,Young people who were NEET_Unemployed,591.0
Jan-Mar 2011,People - SA,Aged 16-24,Young people who were NEET_Unemployed,578.0
Apr-Jun 2011,People - SA,Aged 16-24,Young people who were NEET_Unemployed,614.0
Jul-Sep 2011,People - SA,Aged 16-24,Young people who were NEET_Unemployed,686.0
Oct-Dec 2011,People - SA,Aged 16-24,Young people who were NEET_Unemployed,668.0
Jan-Mar 2012,People - SA,Aged 16-24,Young people who were NEET_Unemployed,646.0
Apr-Jun 2012,People - SA,Aged 16-24,Young people who were NEET_Unemployed,642.0
Jul-Sep 2012,People - SA,Aged 16-24,Young people who were NEET_Unemployed,571.0
Oct-Dec 2012,People - SA,Aged 16-24,Young people who were NEET_Unemployed,571.0
Jan-Mar 2013,People - SA,Aged 16-24,Young people who were NEET_Unemployed,586.0
Apr-Jun 2013,People - SA,Aged 16-24,Young people who were NEET_Unemployed,586.0
Jul-Sep 2013,People - SA,Aged 16-24,Young people who were NEET_Unemployed,603.0
Oct-Dec 2013,People - SA,Aged 16-24,Young people who were NEET_Unemployed,571.0
Jan-Mar 2014,People - SA,Aged 16-24,Young people who were NEET_Unemployed,507.0
Apr-Jun 2014,People - SA,Aged 16-24,Young people who were NEET_Unemployed,455.0
Jul-Sep 2014,People - SA,Aged 16-24,Young people who were NEET_Unemployed,458.0
Oct-Dec 2014,People - SA,Aged 16-24,Young people who were NEET_Unemployed,459.0
Jan-Mar 2015,People - SA,Aged 16-24,Young people who were NEET_Unemployed,429.0
Apr-Jun 2015,People - SA,Aged 16-24,Young people who were NEET_Unemployed,421.0
Jul-Sep 2015,People - SA,Aged 16-24,Young people who were NEET_Unemployed,379.0
Oct-Dec 2015,People - SA,Aged 16-24,Young people who were NEET_Unemployed,364.0
Jan-Mar 2016,People - SA,Aged 16-24,Young people who were NEET_Unemployed,382.0
Apr-Jun 2016,People - SA,Aged 16-24,Young people who were NEET_Unemployed,383.0
Jul-Sep 2016,People - SA,Aged 16-24,Young people who were NEET_Unemployed,373.0
Oct-Dec 2016,People - SA,Aged 16-24,Young people who were NEET_Unemployed,339.0
Jan-Mar 2017,People - SA,Aged 16-24,Young people who were NEET_Unemployed,327.0
Apr-Jun 2017,People - SA,Aged 16-24,Young people who were NEET_Unemployed,324.0
Jul-Sep 2017,People - SA,Aged 16-24,Young people who were NEET_Unemployed,305.0
Oct-Dec 2017,People - SA,Aged 16-24,Young people who were NEET_Unemployed,325.0
Jan-Mar 2018,People - SA,Aged 16-24,Young people who were NEET_Unemployed,315.0
Apr-Jun 2018,People - SA,Aged 16-24,Young people who were NEET_Unemployed,290.0
Jul-Sep 2018,People - SA,Aged 16-24,Young people who were NEET_Unemployed,284.0
Oct-Dec 2018,People - SA,Aged 16-24,Young people who were NEET_Unemployed,315.0
Jan-Mar 2019,People - SA,Aged 16-24,Young people who were NEET_Unemployed,300.0
Apr-Jun 2019,People - SA,Aged 16-24,Young people who were NEET_Unemployed,330.0
Jul-Sep 2019,People - SA,Aged 16-24,Young people who were NEET_Unemployed,317.0
Oct-Dec 2019,People - SA,Aged 16-24,Young people who were NEET_Unemployed,302.0
Jan-Mar 2020,People - SA,Aged 16-24,Young people who were NEET_Unemployed,320.0
Apr-Jun 2020,People - SA,Aged 16-24,Young people who were NEET_Unemployed,304.0
Jul-Sep 2020,People - SA,Aged 16-24,Young people who were NEET_Unemployed,348.0
Oct-Dec 2020,People - SA,Aged 16-24,Young people who were NEET_Unemployed,354.0
Jan-Mar 2021,People - SA,Aged 16-24,Young people who were NEET_Unemployed,318.0
Apr-Jun 2021,People - SA,Aged 16-24,Young people who were NEET_Unemployed,279.0
Jul-Sep 2021,People - SA,Aged 16-24,Young people who were NEET_Unemployed,270.0
Oct-Dec 2021,People - SA,Aged 16-24,Young people who were NEET_Unemployed,256.0
Jan-Mar 2022,People - SA,Aged 16-24,Young people who were NEET_Unemployed,247.0
Apr-Jun 2022,People - SA,Aged 16-24,Young people who were NEET_Unemployed,239.0
Jul-Sep 2022,People - SA,Aged 16-24,Young people who were NEET_Unemployed,252.0
Oct-Dec 2022,People - SA,Aged 16-24,Young people who were NEET_Unemployed,311.0
Jan-Mar 2023,People - SA,Aged 16-24,Young people who were NEET_Unemployed,309.0
Apr-Jun 2023,People - SA,Aged 16-24,Young people who were NEET_Unemployed,333.0
Jul-Sep 2023,People - SA,Aged 16-24,Young people who were NEET_Unemployed,308.0
Oct-Dec 2023,People - SA,Aged 16-24,Young people who were NEET_Unemployed,292.0
Jan-Mar 2024,People - SA,Aged 16-24,Young people who were NEET_Unemployed,320.0
Apr-Jun 2024,People - SA,Aged 16-24,Young people who were NEET_Unemployed,332.0
Oct-Dec 2001,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,459.0
Jan-Mar 2002,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,485.0
Apr-Jun 2002,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,505.0
Jul-Sep 2002,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,512.0
Oct-Dec 2002,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,482.0
Jan-Mar 2003,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,510.0
Apr-Jun 2003,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,530.0
Jul-Sep 2003,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,522.0
Oct-Dec 2003,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,508.0
Jan-Mar 2004,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,497.0
Apr-Jun 2004,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,522.0
Jul-Sep 2004,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,537.0
Oct-Dec 2004,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,532.0
Jan-Mar 2005,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,546.0
Apr-Jun 2005,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,557.0
Jul-Sep 2005,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,536.0
Oct-Dec 2005,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,573.0
Jan-Mar 2006,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,581.0
Apr-Jun 2006,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,573.0
Jul-Sep 2006,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,560.0
Oct-Dec 2006,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,564.0
Jan-Mar 2007,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,558.0
Apr-Jun 2007,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,565.0
Jul-Sep 2007,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,570.0
Oct-Dec 2007,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,551.0
Jan-Mar 2008,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,551.0
Apr-Jun 2008,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,565.0
Jul-Sep 2008,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,563.0
Oct-Dec 2008,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,519.0
Jan-Mar 2009,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,535.0
Apr-Jun 2009,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,554.0
Jul-Sep 2009,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,557.0
Oct-Dec 2009,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,540.0
Jan-Mar 2010,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,561.0
Apr-Jun 2010,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,534.0
Jul-Sep 2010,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,554.0
Oct-Dec 2010,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,573.0
Jan-Mar 2011,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,546.0
Apr-Jun 2011,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,550.0
Jul-Sep 2011,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,560.0
Oct-Dec 2011,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,545.0
Jan-Mar 2012,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,548.0
Apr-Jun 2012,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,550.0
Jul-Sep 2012,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,532.0
Oct-Dec 2012,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,513.0
Jan-Mar 2013,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,514.0
Apr-Jun 2013,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,503.0
Jul-Sep 2013,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,489.0
Oct-Dec 2013,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,467.0
Jan-Mar 2014,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,472.0
Apr-Jun 2014,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,508.0
Jul-Sep 2014,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,509.0
Oct-Dec 2014,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,513.0
Jan-Mar 2015,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,505.0
Apr-Jun 2015,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,498.0
Jul-Sep 2015,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,476.0
Oct-Dec 2015,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,494.0
Jan-Mar 2016,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,484.0
Apr-Jun 2016,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,461.0
Jul-Sep 2016,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,487.0
Oct-Dec 2016,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,484.0
Jan-Mar 2017,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,468.0
Apr-Jun 2017,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,467.0
Jul-Sep 2017,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,491.0
Oct-Dec 2017,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,468.0
Jan-Mar 2018,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,483.0
Apr-Jun 2018,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,488.0
Jul-Sep 2018,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,474.0
Oct-Dec 2018,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,474.0
Jan-Mar 2019,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,465.0
Apr-Jun 2019,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,462.0
Jul-Sep 2019,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,484.0
Oct-Dec 2019,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,461.0
Jan-Mar 2020,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,454.0
Apr-Jun 2020,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,487.0
Jul-Sep 2020,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,425.0
Oct-Dec 2020,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,444.0
Jan-Mar 2021,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,406.0
Apr-Jun 2021,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,365.0
Jul-Sep 2021,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,438.0
Oct-Dec 2021,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,437.0
Jan-Mar 2022,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,460.0
Apr-Jun 2022,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,473.0
Jul-Sep 2022,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,509.0
Oct-Dec 2022,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,520.0
Jan-Mar 2023,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,503.0
Apr-Jun 2023,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,464.0
Jul-Sep 2023,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,562.0
Oct-Dec 2023,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,559.0
Jan-Mar 2024,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,580.0
Apr-Jun 2024,People - SA,Aged 16-24,Young people who were NEET_Economically inactive,540.0
Oct-Dec 2001,People - SA,Aged 16-24,Total people in relevant population group,6438.0
Jan-Mar 2002,People - SA,Aged 16-24,Total people in relevant population group,6473.0
Apr-Jun 2002,People - SA,Aged 16-24,Total people in relevant population group,6509.0
Jul-Sep 2002,People - SA,Aged 16-24,Total people in relevant population group,6544.0
Oct-Dec 2002,People - SA,Aged 16-24,Total people in relevant population group,6580.0
Jan-Mar 2003,People - SA,Aged 16-24,Total people in relevant population group,6615.0
Apr-Jun 2003,People - SA,Aged 16-24,Total people in relevant population group,6651.0
Jul-Sep 2003,People - SA,Aged 16-24,Total people in relevant population group,6687.0
Oct-Dec 2003,People - SA,Aged 16-24,Total people in relevant population group,6724.0
Jan-Mar 2004,People - SA,Aged 16-24,Total people in relevant population group,6760.0
Apr-Jun 2004,People - SA,Aged 16-24,Total people in relevant population group,6797.0
Jul-Sep 2004,People - SA,Aged 16-24,Total people in relevant population group,6829.0
Oct-Dec 2004,People - SA,Aged 16-24,Total people in relevant population group,6859.0
Jan-Mar 2005,People - SA,Aged 16-24,Total people in relevant population group,6889.0
Apr-Jun 2005,People - SA,Aged 16-24,Total people in relevant population group,6919.0
Jul-Sep 2005,People - SA,Aged 16-24,Total people in relevant population group,6944.0
Oct-Dec 2005,People - SA,Aged 16-24,Total people in relevant population group,6968.0
Jan-Mar 2006,People - SA,Aged 16-24,Total people in relevant population group,6992.0
Apr-Jun 2006,People - SA,Aged 16-24,Total people in relevant population group,7016.0
Jul-Sep 2006,People - SA,Aged 16-24,Total people in relevant population group,7046.0
Oct-Dec 2006,People - SA,Aged 16-24,Total people in relevant population group,7078.0
Jan-Mar 2007,People - SA,Aged 16-24,Total people in relevant population group,7111.0
Apr-Jun 2007,People - SA,Aged 16-24,Total people in relevant population group,7143.0
Jul-Sep 2007,People - SA,Aged 16-24,Total people in relevant population group,7167.0
Oct-Dec 2007,People - SA,Aged 16-24,Total people in relevant population group,7186.0
Jan-Mar 2008,People - SA,Aged 16-24,Total people in relevant population group,7205.0
Apr-Jun 2008,People - SA,Aged 16-24,Total people in relevant population group,7224.0
Jul-Sep 2008,People - SA,Aged 16-24,Total people in relevant population group,7234.0
Oct-Dec 2008,People - SA,Aged 16-24,Total people in relevant population group,7240.0
Jan-Mar 2009,People - SA,Aged 16-24,Total people in relevant population group,7245.0
Apr-Jun 2009,People - SA,Aged 16-24,Total people in relevant population group,7251.0
Jul-Sep 2009,People - SA,Aged 16-24,Total people in relevant population group,7263.0
Oct-Dec 2009,People - SA,Aged 16-24,Total people in relevant population group,7277.0
Jan-Mar 2010,People - SA,Aged 16-24,Total people in relevant population group,7292.0
Apr-Jun 2010,People - SA,Aged 16-24,Total people in relevant population group,7306.0
Jul-Sep 2010,People - SA,Aged 16-24,Total people in relevant population group,7322.0
Oct-Dec 2010,People - SA,Aged 16-24,Total people in relevant population group,7337.0
Jan-Mar 2011,People - SA,Aged 16-24,Total people in relevant population group,7352.0
Apr-Jun 2011,People - SA,Aged 16-24,Total people in relevant population group,7368.0
Jul-Sep 2011,People - SA,Aged 16-24,Total people in relevant population group,7370.0
Oct-Dec 2011,People - SA,Aged 16-24,Total people in relevant population group,7365.0
Jan-Mar 2012,People - SA,Aged 16-24,Total people in relevant population group,7361.0
Apr-Jun 2012,People - SA,Aged 16-24,Total people in relevant population group,7356.0
Jul-Sep 2012,People - SA,Aged 16-24,Total people in relevant population group,7348.0
Oct-Dec 2012,People - SA,Aged 16-24,Total people in relevant population group,7337.0
Jan-Mar 2013,People - SA,Aged 16-24,Total people in relevant population group,7327.0
Apr-Jun 2013,People - SA,Aged 16-24,Total people in relevant population group,7317.0
Jul-Sep 2013,People - SA,Aged 16-24,Total people in relevant population group,7309.0
Oct-Dec 2013,People - SA,Aged 16-24,Total people in relevant population group,7302.0
Jan-Mar 2014,People - SA,Aged 16-24,Total people in relevant population group,7295.0
Apr-Jun 2014,People - SA,Aged 16-24,Total people in relevant population group,7289.0
Jul-Sep 2014,People - SA,Aged 16-24,Total people in relevant population group,7282.0
Oct-Dec 2014,People - SA,Aged 16-24,Total people in relevant population group,7275.0
Jan-Mar 2015,People - SA,Aged 16-24,Total people in relevant population group,7269.0
Apr-Jun 2015,People - SA,Aged 16-24,Total people in relevant population group,7262.0
Jul-Sep 2015,People - SA,Aged 16-24,Total people in relevant population group,7248.0
Oct-Dec 2015,People - SA,Aged 16-24,Total people in relevant population group,7231.0
Jan-Mar 2016,People - SA,Aged 16-24,Total people in relevant population group,7213.0
Apr-Jun 2016,People - SA,Aged 16-24,Total people in relevant population group,7195.0
Jul-Sep 2016,People - SA,Aged 16-24,Total people in relevant population group,7172.0
Oct-Dec 2016,People - SA,Aged 16-24,Total people in relevant population group,7146.0
